f (Hz),c1,c2,(c2-c3)/cn,c3,cn,cM,c4,c5,c6,chm,c7,c8,c9,c10,c11a,c11b,c11c,c11d,c1a,,s1,s2,s3,s4,s5,s6,,f3,f4,f5
0.1,-3.64999998939925,1.27,-1.42737880107848,3.48570650852503,1.55229046897076,6.79837319084988,-1.86,7.5818,0.45,3.838,-9.93E-11,-0.743231724355658,-0.031205354514188,-0.2,0.435485417713765,0.264594095765709,0.2068246443273,0.076925870471403,0.162699640269275,,0.55708674413389,0.428744430241036,0.350000003358367,0.350000003545105,0.403571174846991,0.403571174846991,,1,-0.0001,-0.02
0.1023293,-3.64774628782626,1.27,-1.41499260735357,3.48135744195672,1.56280494361916,6.78618509124285,-1.86,7.5818,0.45,3.838,-2.63E-05,-0.749511189046711,-0.031217394679017,-0.2,0.436075163336449,0.265781870523385,0.207919363466881,0.079101480801678,0.171104360965465,,0.55708674413389,0.428744430241036,0.350890995762301,0.350890995925777,0.403859133904691,0.403859133904691,,1,-0.0001,-0.02
0.1047129,-3.64549258622243,1.27,-1.40261497417135,3.47697320858558,1.57347044572188,6.77400787990784,-1.86,7.5818,0.45,3.838,-5.26E-05,-0.755784379700912,-0.031229434275179,-0.2,0.43664767705143,0.266947550633775,0.209011420626527,0.081276971375468,0.178404273571635,,0.55708674413389,0.428744430241036,0.351781988166507,0.35178198830745,0.40414709296248,0.40414709296248,,1,-0.0001,-0.02
0.10715192,-3.64323888458386,1.27,-1.39024622810856,3.47255445475557,1.58429090489399,6.76184117393401,-1.86,7.5818,0.45,3.838,-7.89E-05,-0.76205215862103,-0.031241473252031,-0.2,0.437202834322046,0.268090625398295,0.210100672345619,0.083452062212097,0.184615660295721,,0.55708674413389,0.428744430241037,0.352672980571043,0.352672980690142,0.404435052020375,0.404435052020375,,1,-0.0001,-0.02
0.10964782,-3.64098518290892,1.27,-1.37788649767474,3.46810036544953,1.5952695444501,6.74968441331695,-1.86,7.5818,0.45,3.838,-0.000105206597971,-0.768315652111989,-0.031253511557373,-0.2,0.437740687186193,0.269210781463981,0.211186991417373,0.085626406599188,0.189759046227722,,0.55708674413389,0.428744430241036,0.353563972975853,0.353563973073811,0.404723011078358,0.404723011078358,,1,-0.0001,-0.02
0.11220184,-3.63873148119559,1.27,-1.36553577470176,3.46361151744205,1.60641087409163,6.73753680335119,-1.86,7.5818,0.45,3.838,-0.00013150822265,-0.774576201133875,-0.031265549137122,-0.2,0.438261359733098,0.270307894853377,0.212270271085316,0.087799612850985,0.193857985713307,,0.55708674413389,0.428744430241036,0.354454965380918,0.354454965458435,0.405010970136424,0.405010970136424,,1,-0.0001,-0.02
0.1148154,-3.63647777944142,1.27,-1.35319396588129,3.45908793856567,1.61771925811093,6.72539724347051,-1.86,7.5818,0.45,3.838,-0.000157809847335,-0.780835276547817,-0.031277585934967,-0.2,0.438764985682493,0.271382000220181,0.213350410942191,0.089971234164354,0.196938217882452,,0.55708674413389,0.428744430241036,0.355345957786271,0.355345957844019,0.405298929194584,0.405298929194584,,1,-0.0001,-0.02
0.1174898,-3.63422407764408,1.27,-1.34086093422434,3.45453057844187,1.62919995853677,6.71326428536981,-1.86,7.5818,0.45,3.838,-0.000184111472024,-0.78709440860628,-0.031289621891988,-0.2,0.439251716755258,0.272433282951635,0.214427309723969,0.092140758058339,0.199026826061934,,0.55708674413389,0.428744430241037,0.356236950191981,0.356236950230574,0.405586888252858,0.405586888252858,,1,-0.0001,-0.02
0.12022643,-3.63197037580333,1.27,-1.32853652681685,3.44994029201235,1.6408583791335,6.70113614967967,-1.86,7.5818,0.45,3.838,-0.000210413096716,-0.79335512316493,-0.031301656946257,-0.2,0.439721764291835,0.273462104447736,0.215500875781777,0.094307626214468,0.200151100482247,,0.55708674413389,0.428744430241036,0.357127942598002,0.357127942618067,0.405874847311233,0.405874847311233,,1,-0.0001,-0.02
0.1230269,-3.62971667392158,1.27,-1.31622057916859,3.44531730151983,1.65269965836114,6.68901072208393,-1.86,7.5818,0.45,3.838,-0.000236714721422,-0.799618843880856,-0.031313691032386,-0.2,0.440175423849312,0.274469003109485,0.216571029468707,0.096471254413977,0.200337033620685,,0.55708674413389,0.428744430241036,0.358018935004169,0.358018935006419,0.406162806369655,0.406162806369655,,1,-0.0001,-0.02
0.12589254,-3.6274629720023,1.27,-1.30391287966022,3.44066340336659,1.66473039512596,6.67688561041148,-1.86,7.5818,0.45,3.838,-0.000263016346219,-0.805886814476511,-0.031325724081051,-0.2,0.440613064411011,0.275454661396751,0.217637701179715,0.098631053684407,0.199606688304578,,0.557086744133891,0.428744430241037,0.358909927410326,0.358909927395561,0.406450765428074,0.406450765428074,,1,-0.0001,-0.02
0.12882494,-3.62520927005084,1.27,-1.29161309660589,3.43597949999282,1.67695690426537,6.66475823834423,-1.86,7.5818,0.45,3.838,-0.000289317971016,-0.81216009982855,-0.031337756018478,-0.2,0.44103508335244,0.276419830633757,0.218700825233558,0.100786437846126,0.197975809105121,,0.557086744133891,0.428744430241037,0.359800919816285,0.359800919785422,0.40673872448643,0.40673872448643,,1,-0.0001,-0.02
0.1318257,-3.6229555680736,1.27,-1.27932089405335,3.43126649981246,1.68938575916226,6.65262624257254,-1.86,7.5818,0.45,3.838,-0.000315619595789,-0.818439720097607,-0.031349786765909,-0.2,0.441441851517007,0.277365244014688,0.219760313935451,0.102936829228645,0.195453496577717,,0.55708674413389,0.428744430241037,0.360691912221877,0.360691912175941,0.407026683544666,0.407026683544666,,1,-0.0001,-0.02
0.1348963,-3.62070186607706,1.27,-1.26703784661876,3.42652573285781,1.70202156045516,6.64048763437616,-1.86,7.5818,0.45,3.83798850300414,-0.000341921220531,-0.824726680272542,-0.031361816239068,-0.2,0.441833689552203,0.278291566270503,0.220816053253945,0.105081671113362,0.192038028309017,,0.557086744133891,0.428744430241037,0.361582904626971,0.361582904567081,0.407314642602741,0.407314642602741,,1,-0.0001,-0.02
0.13803841,-3.61844816406938,1.27,-1.25477787255947,3.42175760606277,1.71485141164759,6.62834081448244,-1.86,7.5818,0.45,3.83796578771329,-0.000368222845246,-0.831021927783759,-0.031373844347677,-0.2,0.442210906515428,0.279199400857543,0.2218678909958,0.107220436629918,0.187709097161981,,0.55708674413389,0.428744430241036,0.362473897031397,0.362473896958799,0.4076026016606,0.4076026016606,,1,-0.0001,-0.02
0.14125373,-3.61619446205922,1.27,-1.24279290522581,3.41696142269158,1.72752951329529,6.61618456958626,-1.86,7.5818,0.45,3.83794307227215,-0.000394524469949,-0.83732632099798,-0.031385870995069,-0.2,0.442573860067249,0.280089336388571,0.222915629802886,0.109352638889226,0.18241487173412,,0.55708674413389,0.428744430241036,0.36336488943496,0.36336488935105,0.407890560718181,0.407890560718181,,1,-0.0001,-0.02
0.144544,-3.61394076005055,1.27,-1.23090748068885,3.4121379761487,1.74029162203962,6.60401804707552,-1.86,7.5818,0.45,3.83792035645049,-0.000420826094665,-0.843640616588611,-0.031397896078029,-0.2,0.442922975146233,0.280961991679834,0.223959028411286,0.111477846973554,0.176049653767829,,0.557086744133891,0.428744430241037,0.364255881837525,0.364255881743821,0.408178519775439,0.408178519775439,,1,-0.0001,-0.02
0.14791083,-3.61168705803441,1.27,-1.21912360979042,3.40728778478992,1.75313460228807,6.59184074040779,-1.86,7.5818,0.45,3.83789764117141,-0.000447127719422,-0.849965493960482,-0.03140991948701,-0.2,0.443258703973387,0.281818009792993,0.224997791395633,0.113595697228158,0.168417047038386,,0.55708674413389,0.428744430241037,0.365146874239037,0.365146874137136,0.408466478832357,0.408466478832357,,1,-0.0001,-0.02
0.15135611,-3.60943335597385,1.27,-1.2074421530488,3.40241023040629,1.76605581064231,6.57965250691606,-1.86,7.5818,0.45,3.83787492571501,-0.000473429344247,-0.856301561748173,-0.031421941106979,-0.2,0.443581473200125,0.282658039430522,0.226031568444921,0.115705906522764,0.159203968143947,,0.55708674413389,0.428744430241036,0.366037866639439,0.366037866531024,0.408754437888916,0.408754437888916,,1,-0.0001,-0.02
0.1548817,-3.60717965376647,1.27,-1.19586309778183,3.39750478092576,1.77905379375951,6.56745354210485,-1.86,7.5818,0.45,3.83785220988117,-0.000499730969167,-0.862649324061279,-0.031433960819258,-0.2,0.443891662021669,0.283482760057418,0.227059975297114,0.11780827498691,0.148232307423411,,0.55708674413389,0.428744430241036,0.366928859038725,0.366928858925546,0.409042396945114,0.409042396945114,,1,-0.0001,-0.02
