cell_names,q1UTMx,q1UTMy,q1UTMz,q2UTMx,q2UTMy,q2UTMz,q3UTMx,q3UTMy,q3UTMz,q4UTMx,q4UTMy,q4UTMz,q5UTMx,q5UTMy,q5UTMz,q6UTMx,q6UTMy,q6UTMz,q7UTMx,q7UTMy,q7UTMz,q8UTMx,q8UTMy,q8UTMz,mptUTMx,mptUTMy,mptUTMz,zoneUTM
c.0,-150.0,3300.0,-30.0,-125.0,3300.0,-30.0,-150.0,3325.0,-30.0,-125.0,3325.0,-30.0,-150.0,3300.0,0.0,-125.0,3300.0,0.0,-150.0,3325.0,0.0,-125.0,3325.0,0.0,-137.5,3312.5,-15.0,11S
c.1,-150.0,3325.0,-30.0,-125.0,3325.0,-30.0,-150.0,3350.0,-30.0,-125.0,3350.0,-30.0,-150.0,3325.0,0.0,-125.0,3325.0,0.0,-150.0,3350.0,0.0,-125.0,3350.0,0.0,-137.5,3337.5,-15.0,11S
c.2,-150.0,3350.0,-30.0,-125.0,3350.0,-30.0,-150.0,3375.0,-30.0,-125.0,3375.0,-30.0,-150.0,3350.0,0.0,-125.0,3350.0,0.0,-150.0,3375.0,0.0,-125.0,3375.0,0.0,-137.5,3362.5,-15.0,11S
c.3,-150.0,3375.0,-30.0,-125.0,3375.0,-30.0,-150.0,3400.0,-30.0,-125.0,3400.0,-30.0,-150.0,3375.0,0.0,-125.0,3375.0,0.0,-150.0,3400.0,0.0,-125.0,3400.0,0.0,-137.5,3387.5,-15.0,11S
c.4,-150.0,3400.0,-30.0,-125.0,3400.0,-30.0,-150.0,3425.0,-30.0,-125.0,3425.0,-30.0,-150.0,3400.0,0.0,-125.0,3400.0,0.0,-150.0,3425.0,0.0,-125.0,3425.0,0.0,-137.5,3412.5,-15.0,11S
c.5,-150.0,3425.0,-30.0,-125.0,3425.0,-30.0,-150.0,3450.0,-30.0,-125.0,3450.0,-30.0,-150.0,3425.0,0.0,-125.0,3425.0,0.0,-150.0,3450.0,0.0,-125.0,3450.0,0.0,-137.5,3437.5,-15.0,11S
c.6,-150.0,3450.0,-30.0,-125.0,3450.0,-30.0,-150.0,3475.0,-30.0,-125.0,3475.0,-30.0,-150.0,3450.0,0.0,-125.0,3450.0,0.0,-150.0,3475.0,0.0,-125.0,3475.0,0.0,-137.5,3462.5,-15.0,11S
c.7,-150.0,3475.0,-30.0,-125.0,3475.0,-30.0,-150.0,3500.0,-30.0,-125.0,3500.0,-30.0,-150.0,3475.0,0.0,-125.0,3475.0,0.0,-150.0,3500.0,0.0,-125.0,3500.0,0.0,-137.5,3487.5,-15.0,11S
c.8,-150.0,3500.0,-30.0,-125.0,3500.0,-30.0,-150.0,3525.0,-30.0,-125.0,3525.0,-30.0,-150.0,3500.0,0.0,-125.0,3500.0,0.0,-150.0,3525.0,0.0,-125.0,3525.0,0.0,-137.5,3512.5,-15.0,11S
c.9,-150.0,3525.0,-30.0,-125.0,3525.0,-30.0,-150.0,3550.0,-30.0,-125.0,3550.0,-30.0,-150.0,3525.0,0.0,-125.0,3525.0,0.0,-150.0,3550.0,0.0,-125.0,3550.0,0.0,-137.5,3537.5,-15.0,11S
